"","SealID","Segment","d13C","d15N","Nubbin","WhiskerRow","WhiskerColumn","LengthRecovery","DistanceFromTip","DeploymentDate","RecoveryDate","X","Linf","k","DateWhenSegmentGrew","DeploymentDuration","SealDate","SevenDayAvg_d13C","SevenDayAvg_d15N","Lat","Lon","DaysSinceDeployment","Lon360","FiveDayDriftRate","ReprState"
"55","3960",10,-17.32,13.79,"yes",3,2,9,4.3,2015-06-04,2016-02-02,"",9.83,0.0101718868821011,2015-07-30,243,"3960-2015-07-30",-17.32,13.79,42.9596329880396,-164.865712099572,56.5530393025776,-164.865712099572,-0.310243939393939,"Pregnant"
"56","3960",11,-17.34,13.8,"yes",3,2,9,3.9,2015-06-04,2016-02-02,"",9.83,0.0101718868821011,2015-07-23,243,"3960-2015-07-23",-17.37,13.765,44.4633158876373,-160.114260141389,49.6874107043804,-160.114260141389,-0.316553571428571,"Pregnant"
"57","4179",2,-17.13,15.69,"yes",3,2,7.9,6.3,2015-06-03,2016-02-01,"",9.83,0.00669925486107935,2015-11-02,243,"4179-2015-11-02",-17.13,15.69,47.5984979837779,-137.620891764603,152.873876938734,-137.620891764603,0.0970928571428572,"Pregnant"
"58","4179",1,-17.09,15.77,"yes",3,2,7.9,6.8,2015-06-03,2016-02-01,"",9.83,0.00669925486107935,2015-11-25,243,"4179-2015-11-25",-17.09,15.77,47.4021170277485,-131.781713535795,175.672718689224,-131.781713535795,0.120683333333333,"Pregnant"
"59","4179",12,-17.65,15.99,"yes",3,2,7.9,1.6,2015-06-03,2016-02-01,"",9.83,0.00669925486107935,2015-06-29,243,"4179-2015-06-29",-17.8,15.87,45.0668542867223,-133.583923865772,26.5183103425746,-133.583923865772,-0.326583333333333,"Pregnant"
"60","4179",13,-17.95,15.75,"yes",3,2,7.9,1.3,2015-06-03,2016-02-01,"",9.83,0.00669925486107935,2015-06-24,243,"4179-2015-06-24",-17.95,15.75,42.7536855520605,-131.070252968142,21.1739328622349,-131.070252968142,-0.3275,"Pregnant"
"61","4179",3,-17.15,15.6,"yes",3,2,7.9,5.9,2015-06-03,2016-02-01,"",9.83,0.00669925486107935,2015-10-17,243,"4179-2015-10-17",-17.15,15.6,47.824499748592,-142.171187121089,136.850967352239,-142.171187121089,0.0799785714285715,"Pregnant"
"62","4179",4,-17.24,15.52,"yes",3,2,7.9,5.5,2015-06-03,2016-02-01,"",9.83,0.00669925486107935,2015-10-03,243,"4179-2015-10-03",-17.24,15.52,47.766688496577,-142.057526575098,122.382475237341,-142.057526575098,0.09725,"Pregnant"
"63","4179",5,-17.42,15.61,"yes",3,2,7.9,5.1,2015-06-03,2016-02-01,"",9.83,0.00669925486107935,2015-09-20,243,"4179-2015-09-20",-17.42,15.61,48.7498887397256,-143.826204627855,109.193297885278,-143.826204627855,-0.10375,"Pregnant"
"64","4179",7,-17.37,15.19,"yes",3,2,7.9,4.1,2015-06-03,2016-02-01,"",9.83,0.00669925486107935,2015-08-22,243,"4179-2015-08-22",-17.37,15.19,47.4262358115661,-144.237879320001,80.5646918387987,-144.237879320001,-0.146188095238095,"Pregnant"
"65","4179",8,-17.4,15.18,"yes",3,2,7.9,3.6,2015-06-03,2016-02-01,"",9.83,0.00669925486107935,2015-08-10,243,"4179-2015-08-10",-17.4,15.18,47.3960252501138,-143.681839677453,68.0766161038727,-143.681839677453,-0.184934615384615,"Pregnant"
